"symbol","date","open","high","low","close","volume","adjusted"
"AAPL",2020-01-02,74.0599975585938,75.1500015258789,73.7975006103516,75.0875015258789,135480400,72.716064453125
"AAPL",2020-01-03,74.2874984741211,75.1449966430664,74.125,74.3574981689453,146322800,72.0091171264648
"AAPL",2020-01-06,73.4475021362305,74.9899978637695,73.1875,74.9499969482422,118387200,72.5829010009766
"AAPL",2020-01-07,74.9599990844727,75.2249984741211,74.370002746582,74.5975036621094,108872000,72.2415466308594
"AAPL",2020-01-08,74.2900009155273,76.1100006103516,74.2900009155273,75.7975006103516,132079200,73.4036483764648
"AAPL",2020-01-09,76.8099975585938,77.6074981689453,76.5500030517578,77.4075012207031,170108400,74.9627990722656
"AAPL",2020-01-10,77.6500015258789,78.1675033569336,77.0625,77.5824966430664,140644800,75.1322555541992
"AAPL",2020-01-13,77.9100036621094,79.2675018310547,77.7874984741211,79.2399978637695,121532000,76.737419128418
"AAPL",2020-01-14,79.1750030517578,79.3925018310547,78.0425033569336,78.1699981689453,161954400,75.7012252807617
"AAPL",2020-01-15,77.9625015258789,78.875,77.3874969482422,77.8349990844727,121923600,75.3767776489258
"AAPL",2020-01-16,78.3974990844727,78.9250030517578,78.0224990844727,78.8099975585938,108829200,76.3209915161133
"AAPL",2020-01-17,79.067497253418,79.6849975585938,78.75,79.682502746582,137816400,77.1659545898438
"AAPL",2020-01-21,79.2975006103516,79.754997253418,79,79.1425018310547,110843200,76.6429977416992
"AAPL",2020-01-22,79.6449966430664,79.9974975585938,79.3274993896484,79.4250030517578,101832400,76.9165725708008
"AAPL",2020-01-23,79.4800033569336,79.8899993896484,78.9124984741211,79.807502746582,104472000,77.2870025634766
"AAPL",2020-01-24,80.0625,80.8324966430664,79.379997253418,79.5774993896484,146537600,77.0642623901367
"AAPL",2020-01-27,77.5149993896484,77.942497253418,76.2200012207031,77.2375030517578,161940000,74.7981796264648
"AAPL",2020-01-28,78.1500015258789,79.5999984741211,78.0475006103516,79.4225006103516,162234000,76.9141693115234
"AAPL",2020-01-29,81.1125030517578,81.9625015258789,80.3450012207031,81.0849990844727,216229200,78.5241470336914
"AAPL",2020-01-30,80.1350021362305,81.0224990844727,79.6875,80.9674987792969,126743200,78.4103469848633
"AAPL",2020-01-31,80.2324981689453,80.6699981689453,77.0725021362305,77.3775024414062,199588400,74.933723449707
